Time,Number of Individuals,,,,,
543,32,21,25,23,16,23.4
544,32,21,25,23,16,23.4
545,32,21,25,23,16,23.4
546,32,21,25,23,16,23.4
547,32,21,25,23,16,23.4
548,32,21,25,23,16,23.4
549,32,21,25,23,16,23.4
550,32,21,25,23,16,23.4
551,32,21,25,23,16,23.4
552,32,21,25,23,16,23.4
553,32,21,25,23,16,23.4
554,32,21,25,23,16,23.4
555,32,21,25,23,16,23.4
556,30,17,24,22,15,21.6
557,30,17,24,22,15,21.6
558,30,17,24,22,15,21.6
559,30,17,24,22,15,21.6
560,30,17,24,22,15,21.6
561,30,17,24,22,15,21.6
562,30,17,24,22,15,21.6
563,30,17,24,22,15,21.6
564,30,17,24,22,15,21.6
565,30,17,24,22,15,21.6
566,30,17,24,22,15,21.6
567,30,17,24,22,15,21.6
568,30,17,24,22,15,21.6
569,30,17,24,22,15,21.6
570,30,17,24,22,15,21.6
571,28,16,24,20,14,20.4
572,28,16,24,20,14,20.4
573,28,16,24,20,14,20.4
574,28,16,24,20,14,20.4
575,28,16,24,20,14,20.4
576,28,16,24,20,14,20.4
577,28,16,24,20,14,20.4
578,28,16,24,20,14,20.4
579,28,16,24,20,14,20.4
580,28,16,24,20,14,20.4
581,28,16,24,20,14,20.4
582,28,16,24,20,14,20.4
583,28,16,25,20,14,20.6
584,28,16,25,20,14,20.6
585,28,15,25,20,14,20.4
586,26,13,25,19,13,19.2
587,26,13,25,19,13,19.2
588,26,13,25,19,13,19.2
589,26,13,25,19,13,19.2
590,26,13,25,19,13,19.2
591,26,13,25,19,13,19.2
592,26,13,25,19,13,19.2
593,26,13,25,19,13,19.2
594,26,13,25,19,13,19.2
595,26,13,25,19,13,19.2
596,26,13,25,19,13,19.2
597,26,13,25,19,13,19.2
598,26,13,25,19,13,19.2
599,26,13,25,19,13,19.2
600,26,13,25,18,13,19
601,24,10,25,17,12,17.6
602,24,10,25,17,12,17.6
603,24,10,25,17,12,17.6
604,24,10,25,17,12,17.6
605,24,10,25,17,12,17.6
606,24,10,25,17,12,17.6
607,24,10,25,17,12,17.6
608,24,10,25,17,12,17.6
609,24,10,25,17,12,17.6
610,24,10,25,17,12,17.6
611,24,10,25,17,12,17.6
612,24,10,25,17,12,17.6
613,24,10,25,17,12,17.6
614,24,10,25,17,12,17.6
615,24,10,25,17,12,17.6
616,24,9,25,16,11,17
617,24,9,25,16,11,17
618,24,9,25,16,11,17
619,24,9,25,16,11,17
620,24,9,25,16,11,17
621,24,9,25,16,11,17
622,24,9,25,16,11,17
623,24,9,25,16,11,17
624,24,9,25,16,11,17
625,24,9,25,16,11,17
626,24,9,25,16,11,17
627,24,9,25,16,11,17
628,24,9,25,16,11,17
629,24,9,25,16,11,17
630,24,9,25,16,11,17
631,22,9,24,14,10,15.8
632,22,9,24,14,10,15.8
633,22,9,24,14,10,15.8
634,22,9,24,14,10,15.8
635,22,9,24,14,10,15.8
636,22,9,24,14,10,15.8
637,22,9,24,14,10,15.8
638,22,9,24,14,10,15.8
639,22,9,24,14,10,15.8
640,22,9,24,14,10,15.8
641,22,9,24,14,10,15.8
642,22,9,24,14,10,15.8
643,22,9,24,14,10,15.8
644,22,9,24,14,10,15.8
645,22,9,24,14,10,15.8
646,20,9,24,14,10,15.4
647,20,9,24,14,10,15.4
648,20,9,24,14,10,15.4
649,20,9,24,14,10,15.4
650,20,9,24,14,10,15.4
651,20,9,24,14,10,15.4
652,20,9,24,14,10,15.4
653,20,9,24,14,10,15.4
654,20,9,24,14,10,15.4
655,20,9,24,14,10,15.4
656,20,9,24,14,10,15.4
657,20,9,24,14,10,15.4
658,20,9,24,14,10,15.4
659,20,9,24,14,10,15.4
660,19,9,24,14,10,15.2
661,19,9,24,13,8,14.6
662,19,9,24,13,8,14.6
663,19,9,24,13,8,14.6
664,19,9,24,13,8,14.6
665,19,9,24,13,8,14.6
666,19,9,24,13,8,14.6
667,19,9,24,13,8,14.6
668,19,9,24,13,8,14.6
669,19,9,24,13,8,14.6
670,19,9,24,13,8,14.6
671,19,9,24,13,8,14.6
672,19,9,24,13,8,14.6
673,19,9,24,13,8,14.6
674,19,9,24,13,8,14.6
675,19,9,24,13,8,14.6
676,19,9,23,11,7,13.8
677,19,9,23,11,7,13.8
678,19,9,23,11,7,13.8
679,19,9,23,11,7,13.8
680,19,9,23,11,7,13.8
681,19,9,23,11,7,13.8
682,19,9,23,11,7,13.8
683,19,9,23,11,7,13.8
684,19,9,23,11,7,13.8
685,19,9,23,11,7,13.8
686,19,9,23,11,7,13.8
687,19,9,23,11,7,13.8
688,19,9,23,11,7,13.8
689,19,9,23,11,7,13.8
690,19,9,23,10,6,13.4
691,18,9,21,10,6,12.8
692,18,9,21,10,6,12.8
693,18,9,21,10,6,12.8
694,18,9,21,10,6,12.8
695,18,9,21,10,6,12.8
696,18,9,21,10,6,12.8
697,18,9,21,10,6,12.8
698,18,9,21,10,6,12.8
699,18,9,21,10,6,12.8
700,18,9,21,10,6,12.8
701,18,9,21,10,6,12.8
702,18,9,21,10,6,12.8
703,18,9,21,10,6,12.8
704,18,9,21,10,6,12.8
705,18,9,21,10,5,12.6
706,17,9,21,10,5,12.4
707,17,9,21,10,6,12.6
708,17,9,21,10,6,12.6
709,17,9,21,10,6,12.6
710,17,9,21,10,6,12.6
711,17,9,21,10,6,12.6
712,17,9,21,10,6,12.6
713,17,9,21,10,6,12.6
714,17,9,21,10,6,12.6
715,17,9,21,10,6,12.6
716,17,9,21,10,6,12.6
717,17,9,21,10,6,12.6
718,17,9,21,10,6,12.6
719,17,9,21,10,6,12.6
720,17,9,21,10,6,12.6
721,17,8,21,9,6,12.2
722,17,8,21,9,6,12.2
723,17,8,21,9,6,12.2
724,17,8,21,9,6,12.2
725,17,8,21,9,6,12.2
726,17,8,21,9,6,12.2
727,17,8,21,9,6,12.2
728,17,8,21,9,6,12.2
729,17,8,21,9,6,12.2
730,17,8,21,9,6,12.2
731,17,8,21,9,6,12.2
732,17,8,21,9,6,12.2
733,17,8,21,9,6,12.2
734,17,8,21,9,6,12.2
735,17,8,20,9,6,12
736,16,8,20,9,6,11.8
737,16,8,20,9,6,11.8
738,16,8,20,9,6,11.8
739,16,8,20,9,6,11.8
740,16,8,20,9,6,11.8
741,16,8,20,9,6,11.8
742,16,8,20,9,6,11.8
743,16,8,20,9,6,11.8
744,16,8,20,9,6,11.8
745,16,8,20,9,6,11.8
746,16,8,20,9,6,11.8
747,16,8,20,9,6,11.8
748,16,8,20,9,6,11.8
749,16,8,20,9,6,11.8
750,16,8,20,9,6,11.8
751,16,7,19,9,5,11.2
752,16,7,19,9,5,11.2
753,16,7,19,9,5,11.2
754,16,7,19,9,5,11.2
755,16,7,19,9,5,11.2
756,16,7,19,9,5,11.2
757,16,7,19,9,5,11.2
758,16,7,19,9,5,11.2
759,16,7,19,9,5,11.2
760,16,7,19,9,5,11.2
761,16,7,19,9,5,11.2
762,16,7,19,9,5,11.2
763,16,7,19,9,5,11.2
764,16,7,19,9,5,11.2
765,16,7,19,9,5,11.2
766,16,7,19,9,5,11.2
767,16,7,19,9,5,11.2
768,16,7,19,9,5,11.2
769,16,7,19,9,5,11.2
770,16,7,19,9,5,11.2
771,16,7,19,9,5,11.2
772,16,7,19,9,5,11.2
773,16,7,19,9,5,11.2
774,16,7,19,9,5,11.2
775,16,7,19,9,5,11.2
776,16,7,19,9,5,11.2
777,16,7,19,9,6,11.4
778,16,7,19,9,6,11.4
779,16,7,19,9,6,11.4
780,16,7,19,9,6,11.4
781,16,7,17,8,6,10.8
782,16,7,17,8,6,10.8
783,16,7,17,8,6,10.8
784,16,7,17,8,6,10.8
785,16,7,17,8,6,10.8
786,16,7,17,8,6,10.8
787,16,7,17,8,7,11
788,16,7,17,8,7,11
789,16,7,17,8,7,11
790,16,7,17,8,7,11
791,16,7,17,8,7,11
792,16,7,17,8,7,11
793,16,7,17,8,7,11
794,16,7,17,8,7,11
795,16,7,17,8,7,11
796,15,7,17,8,7,10.8
797,15,7,17,8,7,10.8
798,15,7,17,8,7,10.8
799,15,7,17,8,7,10.8
800,15,7,17,8,7,10.8
801,15,7,17,8,7,10.8
802,15,7,17,8,7,10.8
803,15,7,17,8,7,10.8
804,15,7,17,8,7,10.8
805,15,7,17,8,7,10.8
806,15,7,17,8,7,10.8
807,15,7,17,8,7,10.8
808,15,7,17,8,7,10.8
809,15,7,17,8,7,10.8
810,15,7,17,8,7,10.8
811,15,7,17,8,7,10.8
812,15,7,17,8,7,10.8
813,15,7,17,8,8,11
814,15,7,17,8,8,11
815,15,7,17,8,8,11
816,15,7,17,8,8,11
817,15,7,17,8,8,11
818,15,7,17,8,8,11
819,15,7,17,8,8,11
820,15,7,17,8,8,11
821,15,7,17,8,8,11
822,15,7,17,8,8,11
823,15,7,17,8,8,11
824,15,7,17,8,8,11
825,15,7,17,8,8,11
826,14,7,17,8,7,10.6
827,14,7,17,8,7,10.6
828,14,7,17,8,7,10.6
829,14,7,17,8,7,10.6
830,14,7,17,8,7,10.6
831,14,7,17,8,7,10.6
832,14,7,17,8,7,10.6
833,14,7,17,8,7,10.6
834,14,7,17,8,7,10.6
835,14,7,17,8,8,10.8
836,14,7,17,8,8,10.8
837,14,7,17,8,8,10.8
838,14,7,17,8,8,10.8
839,14,7,17,8,8,10.8
840,14,7,17,8,8,10.8
841,12,5,16,8,7,9.6
842,12,5,16,8,7,9.6
843,12,5,16,8,7,9.6
844,12,5,16,8,7,9.6
845,12,5,16,8,7,9.6
846,12,5,16,8,7,9.6
847,12,5,16,8,7,9.6
848,12,5,16,8,7,9.6
849,12,5,16,8,7,9.6
850,12,5,16,8,7,9.6
851,12,5,16,8,7,9.6
852,12,5,16,8,7,9.6
853,12,5,16,8,7,9.6
854,12,5,16,8,7,9.6
855,12,5,16,8,7,9.6
856,12,5,16,8,5,9.2
857,12,5,16,8,5,9.2
858,12,5,16,8,5,9.2
859,12,5,16,8,5,9.2
860,12,5,16,8,5,9.2
861,12,5,16,8,5,9.2
862,12,5,16,8,5,9.2
863,12,5,16,8,5,9.2
864,12,5,16,8,5,9.2
865,12,5,16,8,6,9.4
866,12,5,16,8,6,9.4
867,12,5,16,8,6,9.4
868,12,5,16,8,6,9.4
869,12,5,16,8,7,9.6
870,12,5,16,8,7,9.6
871,12,5,16,7,6,9.2
872,12,5,16,7,6,9.2
873,12,5,16,7,6,9.2
874,12,5,16,7,6,9.2
875,12,5,16,7,6,9.2
876,12,5,16,7,6,9.2
877,12,5,16,7,7,9.4
878,12,5,16,7,7,9.4
879,12,5,16,7,7,9.4
880,12,5,16,7,7,9.4
881,12,5,16,7,7,9.4
882,12,5,16,7,7,9.4
883,12,5,16,7,7,9.4
884,12,5,16,7,7,9.4
885,12,5,16,7,7,9.4
886,7,5,15,6,6,7.8
